libvpx9:amd64	1.15.0-2.1	amd64
libvulkan1:amd64	1.4.309.0-1	amd64
libwayland-client0:amd64	1.23.1-3	amd64
libwayland-cursor0:amd64	1.23.1-3	amd64
libwayland-egl1:amd64	1.23.1-3	amd64
libwayland-server0:amd64	1.23.1-3	amd64
libwebp-dev:amd64	1.5.0-0.1	amd64
libwebp7:amd64	1.5.0-0.1	amd64
libwebpdecoder3:amd64	1.5.0-0.1	amd64
libwebpdemux2:amd64	1.5.0-0.1	amd64
libwebpmux3:amd64	1.5.0-0.1	amd64
libwmf-0.2-7:amd64	0.2.13-1.1+b3	amd64
libwmf-dev	0.2.13-1.1+b3	amd64
libwmflite-0.2-7:amd64	0.2.13-1.1+b3	amd64
libwrap0:amd64	7.6.q-36	amd64
libwtmpdb0:amd64	0.73.0-3+deb13u1	amd64
libx11-6:amd64	2:1.8.12-1	amd64
libx11-data	2:1.8.12-1	all
libx11-dev:amd64	2:1.8.12-1	amd64
libx11-xcb1:amd64	2:1.8.12-1	amd64
libx264-164:amd64	2:0.164.3108+git31e19f9-2+b1	amd64
libx265-215:amd64	4.1-2	amd64
libxau-dev:amd64	1:1.0.11-1	amd64
libxau6:amd64	1:1.0.11-1	amd64
libxcb-dri3-0:amd64	1.17.0-2+b1	amd64
libxcb-glx0:amd64	1.17.0-2+b1	amd64
libxcb-present0:amd64	1.17.0-2+b1	amd64
libxcb-randr0:amd64	1.17.0-2+b1	amd64
libxcb-render0:amd64	1.17.0-2+b1	amd64
libxcb-render0-dev:amd64	1.17.0-2+b1	amd64
libxcb-shape0:amd64	1.17.0-2+b1	amd64
libxcb-shm0:amd64	1.17.0-2+b1	amd64
libxcb-shm0-dev:amd64	1.17.0-2+b1	amd64
libxcb-sync1:amd64	1.17.0-2+b1	amd64
libxcb-xfixes0:amd64	1.17.0-2+b1	amd64
libxcb1:amd64	1.17.0-2+b1	amd64
libxcb1-dev:amd64	1.17.0-2+b1	amd64
libxcursor1:amd64	1:1.2.3-1	amd64
libxdmcp-dev:amd64	1:1.1.5-1	amd64
libxdmcp6:amd64	1:1.1.5-1	amd64
libxext-dev:amd64	2:1.3.4-1+b3	amd64
libxext6:amd64	2:1.3.4-1+b3	amd64
libxfixes3:amd64	1:6.0.0-2+b4	amd64
libxft-dev:amd64	2.3.6-1+b4	amd64
